,Date,Value
0,2016-10-01,610.7466406
1,2016-10-02,615.6496651
2,2016-10-03,611.4572685
3,2016-10-04,611.2478639
4,2016-10-05,609.8305424
5,2016-10-06,607.1891668
6,2016-10-07,611.5443589
7,2016-10-08,615.8933501
8,2016-10-09,615.3403091
9,2016-10-10,615.7844633
10,2016-10-11,617.1614665
11,2016-10-12,614.3078541
12,2016-10-13,631.0409773
13,2016-10-14,634.7770193
14,2016-10-15,636.4224096
15,2016-10-16,637.8465145
16,2016-10-17,639.4033496
17,2016-10-18,641.2587357
18,2016-10-19,636.1048742
19,2016-10-20,628.1171236
20,2016-10-21,628.2744192
21,2016-10-22,630.7046972
22,2016-10-23,652.6993851
23,2016-10-24,651.5597865
24,2016-10-25,650.6902502
25,2016-10-26,654.9032136
26,2016-10-27,651.0417891
27,2016-10-28,675.9596483
28,2016-10-29,690.0218914
29,2016-10-30,686.8545296
30,2016-10-31,692.9231123
31,2016-11-01,704.4944486
32,2016-11-02,696.4507983
33,2016-11-03,726.3079572
34,2016-11-04,710.6507161
35,2016-11-05,688.9806404
36,2016-11-06,681.8953638
37,2016-11-07,706.8482019
38,2016-11-08,717.1240601
39,2016-11-09,709.74728
40,2016-11-10,717.6095235
41,2016-11-11,719.1298122
42,2016-11-12,717.8411367
43,2016-11-13,707.7664994
44,2016-11-14,704.6317756
45,2016-11-15,705.1547938
46,2016-11-16,709.1472941
47,2016-11-17,710.781655
48,2016-11-18,731.0225187
49,2016-11-19,743.9278079
50,2016-11-20,751.1550264
51,2016-11-21,732.2719719
52,2016-11-22,739.9249887
53,2016-11-23,735.2394831
54,2016-11-24,741.2558846
55,2016-11-25,737.4881632
56,2016-11-26,736.7473507
57,2016-11-27,734.271952
58,2016-11-28,729.449727
59,2016-11-29,728.2777295
60,2016-11-30,731.6706759
61,2016-12-01,739.943022
62,2016-12-02,740.6734516
63,2016-12-03,767.1424595
64,2016-12-04,762.4090868
65,2016-12-05,764.997901
66,2016-12-06,756.2483347
67,2016-12-07,757.1982369
68,2016-12-08,758.3442865
69,2016-12-09,767.408535
70,2016-12-10,768.7575075
71,2016-12-11,769.0541887
72,2016-12-12,775.5151769
73,2016-12-13,776.1644295
74,2016-12-14,777.7645927
75,2016-12-15,775.3279612
76,2016-12-16,776.7111166
77,2016-12-17,775.8660084
78,2016-12-18,786.3203791
79,2016-12-19,787.1445826
80,2016-12-20,788.5185675
81,2016-12-21,792.1714079
82,2016-12-22,820.5673076
83,2016-12-23,831.3300425
84,2016-12-24,899.7074974
85,2016-12-25,901.2918517
86,2016-12-26,896.8537772
87,2016-12-27,901.3625944
88,2016-12-28,931.1922598
89,2016-12-29,940.2307932
90,2016-12-30,964.332973
91,2016-12-31,967.37403
92,2017-01-01,958.1643273
93,2017-01-02,1004.403675
94,2017-01-03,1025.571194
95,2017-01-04,1023.828406
96,2017-01-05,1118.827083
97,2017-01-06,1101.163374
98,2017-01-07,1010.412373
99,2017-01-08,888.1060456
100,2017-01-09,916.2136709
101,2017-01-10,914.5870002
102,2017-01-11,899.2342389
103,2017-01-12,815.7040953
104,2017-01-13,739.3635989
105,2017-01-14,841.4295995
106,2017-01-15,811.9390921
107,2017-01-16,821.511321
108,2017-01-17,826.0175403
109,2017-01-18,894.1048676
110,2017-01-19,914.2814832
111,2017-01-20,893.4647267
112,2017-01-21,895.7784589
113,2017-01-22,893.9892654
114,2017-01-23,916.6863815
115,2017-01-24,923.3321377
116,2017-01-25,919.7216432
117,2017-01-26,897.1229648
118,2017-01-27,909.640027
119,2017-01-28,919.5912788
120,2017-01-29,916.4652519
121,2017-01-30,919.2930534
122,2017-01-31,910.438089
123,2017-02-01,958.0131344
124,2017-02-02,982.4167721
125,2017-02-03,981.7208695
126,2017-02-04,1011.228937
127,2017-02-05,1031.893611
128,2017-02-06,1035.301035
129,2017-02-07,1025.956138
130,2017-02-08,1046.414035
131,2017-02-09,1056.773144
132,2017-02-10,983.1623826
133,2017-02-11,990.0364572
134,2017-02-12,1003.360565
135,2017-02-13,995.4598853
136,2017-02-14,1004.49222
137,2017-02-15,998.2576236
138,2017-02-16,1012.264028
139,2017-02-17,1031.461901
140,2017-02-18,1036.98584
141,2017-02-19,1053.907579
142,2017-02-20,1058.065445
143,2017-02-21,1050.233571
144,2017-02-22,1116.041535
145,2017-02-23,1129.894302
146,2017-02-24,1125.984339
147,2017-02-25,1174.114258
148,2017-02-26,1157.460033
149,2017-02-27,1147.442233
150,2017-02-28,1188.907606
151,2017-03-01,1191.254227
152,2017-03-02,1189.754923
153,2017-03-03,1255.665911
154,2017-03-04,1291.031032
155,2017-03-05,1289.821293
156,2017-03-06,1277.216131
157,2017-03-07,1276.362892
158,2017-03-08,1284.395778
159,2017-03-09,1167.114029
160,2017-03-10,1176.572007
161,2017-03-11,1173.403916
162,2017-03-12,1169.984546
163,2017-03-13,1220.429661
164,2017-03-14,1234.094451
165,2017-03-15,1254.351707
166,2017-03-16,1264.096632
167,2017-03-17,1260.336638
168,2017-03-18,1100.777189
169,2017-03-19,940.2667349
170,2017-03-20,964.7662705
171,2017-03-21,1050.08735
172,2017-03-22,1148.099042
173,2017-03-23,1119.092511
174,2017-03-24,1036.833327
175,2017-03-25,929.7890307
176,2017-03-26,945.4381283
177,2017-03-27,986.9835345
178,2017-03-28,1059.374624
179,2017-03-29,1020.163018
180,2017-03-30,1012.496061
181,2017-03-31,1020.871911
182,2017-04-01,1033.035922
183,2017-04-02,1107.593999
184,2017-04-03,1101.83205
185,2017-04-04,1063.932049
186,2017-04-05,1140.14964
187,2017-04-06,1125.327969
188,2017-04-07,1128.707536
189,2017-04-08,1197.491906
190,2017-04-09,1178.642013
191,2017-04-10,1179.982792
192,2017-04-11,1207.161747
193,2017-04-12,1226.165999
194,2017-04-13,1215.68278
195,2017-04-14,1175.623041
196,2017-04-15,1189.465893
197,2017-04-16,1174.914113
198,2017-04-17,1191.935151
