,Date,比特币残差,黄金残差,预计黄金涨幅,预计比特币涨幅,黄金预测方差,比特币预测方差
0,2016-09-11,0,0,0,0,0,0.0
1,2016-09-12,0,0,0,0,0,0.0
2,2016-09-13,0,0,0,0,0,0.0
3,2016-09-14,6,0,-1,-11,0,0.0
4,2016-09-15,1,10,-10,-14,0,0.0
5,2016-09-16,9,8,-2,-7,0,3.0
6,2016-09-17,10,0,0,-2,0,3.0
7,2016-09-18,11,0,0,-2,0,3.0
8,2016-09-19,19,13,2,-8,4,3.0
9,2016-09-20,0,15,5,0,4,0.0
10,2016-09-21,13,16,10,-1,3,3.0
11,2016-09-22,9,14,10,3,3,4.0
12,2016-09-23,6,17,0,0,3,3.0
13,2016-09-24,3,0,0,0,0,3.0
14,2016-09-25,9,0,0,-6,0,4.0
15,2016-09-26,10,0,0,-2,0,4.0
16,2016-09-27,10,0,0,-2,0,4.0
17,2016-09-28,15,0,0,-6,0,4.0
18,2016-09-29,15,12,-1,-3,7,4.0
19,2016-09-30,15,12,-4,-3,7,4.0
20,2016-10-01,15,0,0,-3,0,4.0
21,2016-10-02,1,0,0,0,0,4.0
22,2016-10-03,1,16,2,-1,7,4.0
23,2016-10-04,1,15,-15,-1,7,4.0
24,2016-10-05,14,13,-13,0,7,4.0
25,2016-10-06,14,12,-13,-1,7,4.0
26,2016-10-07,4,12,0,0,7,4.0
27,2016-10-08,1,0,0,0,0,4.0
28,2016-10-09,1,0,0,0,0,4.0
29,2016-10-10,1,4,6,0,7,4.0
30,2016-10-11,0,5,-6,0,7,4.0
31,2016-10-12,2,3,1,0,7,4.0
32,2016-10-13,4,0,4,-4,7,5.0
33,2016-10-14,2,0,1,1,7,5.0
34,2016-10-15,2,0,0,2,0,5.0
35,2016-10-16,1,0,0,0,0,5.0
36,2016-10-17,2,2,-4,0,7,5.0
37,2016-10-18,1,10,1,2,7,5.0
38,2016-10-19,1,14,5,1,7,5.0
39,2016-10-20,0,11,8,0,7,5.0
40,2016-10-21,0,12,-4,0,7,5.0
41,2016-10-22,2,0,0,0,0,5.0
42,2016-10-23,9,0,0,-2,0,5.0
43,2016-10-24,9,12,-1,-1,7,5.0
44,2016-10-25,9,8,-1,0,7,5.0
45,2016-10-26,5,2,2,0,8,6.0
46,2016-10-27,6,2,-2,0,8,6.0
47,2016-10-28,5,10,-3,-4,8,7.0
48,2016-10-29,1,0,0,2,0,7.0
49,2016-10-30,0,0,0,3,0,6.0
50,2016-10-31,1,5,0,-3,8,6.0
51,2016-11-01,1,2,-2,2,8,7.0
52,2016-11-02,1,8,-1,1,8,7.0
53,2016-11-03,2,0,4,-4,8,7.0
54,2016-11-04,4,5,-3,26,9,9.0
55,2016-11-05,1,0,0,6,0,9.0
56,2016-11-06,6,0,0,-21,0,9.0
57,2016-11-07,7,24,-9,-3,8,10.0
58,2016-11-08,7,5,-7,1,8,10.0
59,2016-11-09,7,5,0,3,9,10.0
60,2016-11-10,7,2,-8,-1,9,10.0
61,2016-11-11,7,0,-5,0,9,9.0
62,2016-11-12,7,0,0,4,0,9.0
63,2016-11-13,7,0,0,7,0,10.0
64,2016-11-14,7,17,-17,5,9,10.0
65,2016-11-15,7,25,-7,1,9,9.0
66,2016-11-16,7,28,7,0,9,9.0
67,2016-11-17,7,1,-1,0,9,9.0
68,2016-11-18,7,1,-7,-5,9,10.0
69,2016-11-19,6,0,0,-5,0,10.0
70,2016-11-20,5,0,0,0,0,10.0
71,2016-11-21,9,24,-3,4,9,10.0
72,2016-11-22,8,33,2,4,9,10.0
73,2016-11-23,9,31,-4,1,9,10.0
74,2016-11-24,9,38,-3,2,9,10.0
75,2016-11-25,9,33,0,2,9,10.0
76,2016-11-26,8,0,0,3,0,10.0
77,2016-11-27,8,0,0,3,0,10.0
78,2016-11-28,7,19,0,4,9,10.0
79,2016-11-29,7,10,2,3,9,10.0
80,2016-11-30,7,5,-4,1,9,9.0
81,2016-12-01,8,7,0,0,9,9.0
82,2016-12-02,8,1,-2,0,9,9.0
83,2016-12-03,10,0,0,-4,0,10.0
84,2016-12-04,10,0,0,-2,0,10.0
85,2016-12-05,10,3,-2,3,10,9.0
86,2016-12-06,12,11,5,3,10,10.0
87,2016-12-07,12,17,0,3,10,10.0
88,2016-12-08,12,34,-2,2,10,10.0
89,2016-12-09,13,0,5,0,10,10.0
90,2016-12-10,13,0,0,0,0,10.0
91,2016-12-11,13,0,0,1,0,9.0
92,2016-12-12,12,0,0,0,0,9.0
93,2016-12-13,12,4,0,1,10,9.0
94,2016-12-14,12,2,4,1,10,9.0
95,2016-12-15,12,0,0,2,0,9.0
96,2016-12-16,12,19,-4,2,10,9.0
97,2016-12-17,12,0,0,2,0,9.0
98,2016-12-18,13,0,0,0,0,9.0
99,2016-12-19,13,1,0,0,11,9.0
100,2016-12-20,13,14,6,1,10,9.0
101,2016-12-21,13,4,-4,0,10,9.0
102,2016-12-22,13,4,-3,-6,10,9.0
103,2016-12-23,11,0,0,-5,0,10.0
104,2016-12-24,6,0,0,0,0,11.0
105,2016-12-25,2,0,0,7,0,11.0
106,2016-12-26,78,0,0,-2,0,11.0
107,2016-12-27,2,0,0,2,0,11.0
108,2016-12-28,10,8,-2,0,10,12.0
109,2016-12-29,11,3,3,8,10,12.0
110,2016-12-30,30,0,0,0,0,12.0
111,2016-12-31,21,0,0,14,0,12.0
112,2017-01-01,15,0,0,-1,0,12.0
113,2017-01-02,45,0,0,5,0,12.0
114,2017-01-03,53,3,-2,8,10,12.0
115,2017-01-04,43,3,0,9,10,12.0
116,2017-01-05,114,0,3,-8,10,15.0
117,2017-01-06,9,2,-2,74,10,17.0
118,2017-01-07,11,0,0,17,0,18.0
119,2017-01-08,130,0,0,53,0,20.0
120,2017-01-09,1,11,1,10,10,20.0
121,2017-01-10,2,20,0,6,10,20.0
122,2017-01-11,1,7,-2,-4,10,20.0
123,2017-01-12,0,17,1,33,10,22.0
124,2017-01-13,2,12,0,-40,10,22.0
125,2017-01-14,107,0,0,22,0,23.0
126,2017-01-15,2,0,0,-3,0,23.0
127,2017-01-16,0,10,-1,4,10,23.0
128,2017-01-17,2,8,0,-2,10,23.0
129,2017-01-18,3,41,-1,-8,10,24.0
130,2017-01-19,1,50,2,9,10,24.0
131,2017-01-20,131,21,-4,1,10,23.0
132,2017-01-21,129,0,0,5,0,23.0
133,2017-01-22,127,0,0,2,0,23.0
134,2017-01-23,139,6,-3,0,10,23.0
135,2017-01-24,141,9,5,3,10,23.0
136,2017-01-25,138,0,0,2,10,23.0
137,2017-01-26,123,0,-1,8,10,23.0
138,2017-01-27,131,0,0,-2,10,23.0
139,2017-01-28,132,0,0,7,0,23.0
140,2017-01-29,131,0,0,0,0,23.0
141,2017-01-30,129,0,0,7,10,23.0
142,2017-01-31,123,0,-1,2,10,23.0
